actual,proposed
0.30000463128089905,0.20000000298023224
0.3015044629573822,0.20000000298023224
0.30300432443618774,0.20000000298023224
0.3045041859149933,0.20000000298023224
0.30600404739379883,0.20000000298023224
0.30750390887260437,0.20000000298023224
0.3090038001537323,0.20000000298023224
0.15238399803638458,0.19799406826496124
0.15276455879211426,0.19681048393249512
0.15529286861419678,0.19563056528568268
0.15776026248931885,0.19448654353618622
0.1601690798997879,0.19331790506839752
0.15519747138023376,0.19211862981319427
0.1531791090965271,0.1909290850162506
0.1467219442129135,0.18970070779323578
0.13588865101337433,0.18842750787734985
0.12945690751075745,0.18713343143463135
0.11864502727985382,0.18578647077083588
0.10351292043924332,0.184358149766922
0.0841178223490715,0.18281692266464233
0.06923216581344604,0.1811889410018921
0.05006934329867363,0.17944739758968353
0.026684356853365898,0.17757736146450043
0.003488851711153984,0.17556814849376678
0.0,0.17346253991127014
0.0,0.1712004542350769
0.0,0.16873699426651
0.0,0.16610190272331238
0.0,0.1633116751909256
0.0,0.16038212180137634
0.0,0.15731585025787354
0.0,0.1541168987751007
0.0,0.15081529319286346
0.0,0.14738500118255615
0.0,0.1438310742378235
0.0,0.1402214914560318
0.0,0.13272857666015625
0.0,0.12888656556606293
0.0,0.12495872378349304
0.0,0.1209801435470581
0.0,0.11698348075151443
0.0,0.11293672025203705
0.0,0.10887566953897476
0.0,0.10482337325811386
0.0,0.1007550060749054
0.0,0.09670084714889526
0.0,0.09265398234128952
0.0,0.08861858397722244
0.0,0.08459256589412689
0.0,0.08060671389102936
0.0,0.07672245800495148
0.0,0.07296837866306305
0.0,0.0693727433681488
0.0,0.06589473783969879
0.0,0.06253247708082199
0.0,0.05928075686097145
0.0,0.05613519251346588
0.0,0.05312402546405792
0.0,0.05020998418331146
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.12667134404182434
0.0,0.1256217509508133
0.00997406430542469,0.12462075799703598
0.022319070994853973,0.12383094429969788
0.043141577392816544,0.12321127951145172
0.05925390496850014,0.12272201478481293
0.075090691447258,0.12236425280570984
0.09938178211450577,0.1221923679113388
0.11894083023071289,0.12216419726610184
0.1294858455657959,0.12215463817119598
0.15294551849365234,0.12222573161125183
0.1629919409751892,0.1224728524684906
0.17725719511508942,0.12278563529253006
0.19132819771766663,0.1232014149427414
0.20085477828979492,0.12371629476547241
0.20590564608573914,0.12429171800613403
0.2109055519104004,0.12489497661590576
0.22021591663360596,0.12552709877490997
0.2207016497850418,0.12622018158435822
0.22556547820568085,0.1268993765115738
0.2260282337665558,0.12760622799396515
0.22215233743190765,0.12830574810504913
0.21835651993751526,0.12897007167339325
0.20591920614242554,0.12958580255508423
0.20239366590976715,0.13011077046394348
0.1858556866645813,0.13058876991271973
0.17391927540302277,0.13094329833984375
0.1577950268983841,0.13120360672473907
0.13753558695316315,0.13134172558784485
0.11754992604255676,0.13133284449577332
0.09782540798187256,0.1311715990304947
0.07399089634418488,0.13086912035942078
0.04609508067369461,0.13039593398571014
0.018543172627687454,0.12972958385944366
3.7017241993453354e-05,0.12887077033519745
0.0,0.1278928965330124
0.0,0.12657064199447632
0.0,0.12501326203346252
0.0,0.12319618463516235
0.0,0.1211586594581604
0.0,0.11904007941484451
0.0,0.11657468974590302
0.0,0.11394388228654861
0.0,0.11111733317375183
0.0,0.10809898376464844
0.0,0.105024054646492
0.0,0.10163506120443344
0.0,0.09807257354259491
0.0,0.09437158703804016
0.0,0.09053676575422287
0.0,0.08660294860601425
0.0,0.08257351070642471
0.0,0.0784490555524826
0.0,0.0743621438741684
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.12529362738132477
0.0,0.12295914441347122
0.0,0.12077708542346954
0.0,0.11874053627252579
0.0,0.11684010922908783
0.0,0.1150752604007721
0.0,0.11344341933727264
0.0,0.11196811497211456
0.0,0.11064700037240982
0.0,0.10947233438491821
0.0,0.10844118893146515
0.0,0.10754761844873428
0.0,0.10675222426652908
0.0,0.10602320730686188
0.0,0.10538940131664276
0.0,0.10484743863344193
0.004526791628450155,0.1043938398361206
0.014730039983987808,0.10402575880289078
0.024763567373156548,0.10374172031879425
0.030275912955403328,0.10353603959083557
0.031334370374679565,0.10337603837251663
0.036721475422382355,0.10322851687669754
0.037659935653209686,0.10312176495790482
0.03857304900884628,0.10302610695362091
0.04817967116832733,0.10293904691934586
0.05328323692083359,0.10292644053697586
0.06266822665929794,0.10295146703720093
0.05884190648794174,0.1030443012714386
0.050709523260593414,0.10310931503772736
0.03832881897687912,0.1031133159995079
0.030473140999674797,0.10302650928497314
0.027074240148067474,0.10288339853286743
0.019349420443177223,0.10271846503019333
0.01607506535947323,0.10249955952167511
0.012827565893530846,0.10226152837276459
0.013964492827653885,0.1020035445690155
0.006347143556922674,0.10175960510969162
0.0031744157895445824,0.10146413743495941
2.2924399672774598e-05,0.1011507511138916
0.0,0.10082010179758072
0.0,0.1004730612039566
0.0,0.10007737576961517
0.0,0.0996684730052948
0.0,0.0992099717259407
0.24316257238388062,0.09873894602060318
0.24158048629760742,0.20000000298023224
0.240006223320961,0.19939681887626648
0.238438680768013,0.1995633989572525
0.2412363886833191,0.19971928000450134
0.23962022364139557,0.1998906433582306
0.23801171779632568,0.20000000298023224
0.23641033470630646,0.19941677153110504
0.23481501638889313,0.199554905295372
0.2332252711057663,0.19968032836914062
0.23164063692092896,0.19979913532733917
0.22570110857486725,0.19990423321723938
0.21546685695648193,0.1999562680721283
0.2053537666797638,0.1999426931142807
0.19535592198371887,0.19985352456569672
0.18110856413841248,0.19969607889652252
0.16702581942081451,0.19943717122077942
0.15309925377368927,0.1990884691476822
0.13932135701179504,0.19863386452198029
0.12132584303617477,0.19809162616729736
0.10352461785078049,0.19743159413337708
0.08154941350221634,0.19665703177452087
0.06416923552751541,0.19572561979293823
0.03823497146368027,0.19469015300273895
0.012577012181282043,0.19348201155662537
0.0,0.19211040437221527
0.0,0.19054163992404938
0.0,0.18881863355636597
0.0,0.1869165152311325
0.0,0.1848309189081192
0.0,0.18254788219928741
0.0,0.18005585670471191
0.0,0.17740660905838013
0.0,0.17463527619838715
0.0,0.17167650163173676
0.0,0.16853900253772736
0.0,0.16525620222091675
0.0,0.1619008332490921
0.0,0.1584702730178833
0.0,0.1549401730298996
0.0,0.15130268037319183
0.0,0.14756877720355988
0.0,0.14373789727687836
0.0,0.1398775577545166
0.0,0.1359548568725586
0.0,0.13200412690639496
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.1971098929643631
0.0,0.19452843070030212
0.0,0.19204461574554443
0.0,0.18969613313674927
0.0,0.18749919533729553
0.0,0.18542411923408508
0.0,0.18343299627304077
0.0,0.18149074912071228
0.0,0.17962482571601868
0.0,0.17783445119857788
0.0,0.17608213424682617
0.0,0.17440392076969147
0.0,0.17275601625442505
0.0,0.17111168801784515
0.0,0.1694691777229309
0.0,0.16782626509666443
0.0,0.1662491112947464
0.0,0.16470152139663696
0.0,0.1631820946931839
0.0,0.161657452583313
0.09990354627370834,0.16009525954723358
0.0964675024151802,0.20000000298023224
0.10171008110046387,0.20000000298023224
0.10679329186677933,0.20000000298023224
0.1073642298579216,0.20000000298023224
0.11220724880695343,0.20000000298023224
0.11254680156707764,0.20000000298023224
0.1171669065952301,0.20000000298023224
0.1172918826341629,0.20000000298023224
0.11734601855278015,0.20000000298023224
